"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.261656719E0,-9.671789169E0,-5.072783828E-1,2.000399828E0
2.271341303E0,-9.705288887E0,-4.929214716E-1,1.746760488E0
2.281026771E0,-9.714859962E0,-4.785645306E-1,2.316252232E0
2.290712188E0,-9.710074425E0,-4.833501875E-1,2.694318295E0
2.300397084E0,-9.690931320E0,-4.929214716E-1,2.421536446E0
2.310082136E0,-9.714859962E0,-5.024927258E-1,2.062613010E0
2.319766355E0,-9.695717812E0,-4.977070987E-1,1.952543259E0
2.329450157E0,-9.734002113E0,-5.216353536E-1,1.631905079E0
2.339134323E0,-9.686145782E0,-4.881358147E-1,2.067398787E0
2.348818490E0,-9.710074425E0,-4.977070987E-1,2.129612207E0
2.358503855E0,-9.734002113E0,-4.977070987E-1,1.981257200E0
2.368188073E0,-9.954142570E0,-6.029912829E-1,1.923829436E0
2.377873959E0,-9.934999466E0,-5.934200287E-1,2.158325911E0
2.387558126E0,-9.657432556E0,-4.833501875E-1,3.498306751E0
2.397243438E0,-9.604789734E0,-3.876372576E-1,2.866601467E0
2.406929219E0,-9.667003632E0,-4.307080805E-1,2.153540373E0
2.416616459E0,-9.743574142E0,-4.929214716E-1,2.053041935E0
2.426301823E0,-9.638289452E0,-4.163511395E-1,2.005185366E0
2.435986042E0,-9.767501831E0,-4.689932466E-1,1.655833244E0
2.445673178E0,-9.954142570E0,-5.647061467E-1,1.239482164E0
2.455359844E0,-9.738788605E0,-5.742774606E-1,1.392622828E0
2.465045573E0,-9.571290970E0,-3.684946895E-1,2.277967215E0
2.474730938E0,-9.657432556E0,-5.312066078E-1,2.971885681E0
2.484417344E0,-9.762716293E0,-5.790630579E-1,2.790031195E0
2.494102813E0,-9.734002113E0,-5.694918036E-1,1.981257200E0
2.503789011E0,-9.647860527E0,-6.364908218E-1,1.622333765E0
2.513475886E0,-9.489934921E0,-7.034898400E-1,1.746760488E0
2.523162917E0,-9.451649666E0,-7.369893789E-1,1.914258122E0
2.532848282E0,-9.571290970E0,-7.417750359E-1,1.497906923E0
2.542535157E0,-9.475577354E0,-3.445664644E-1,1.354337573E0
2.552221407E0,-9.346364975E0,1.579262912E-1,1.909472466E0
2.561907084E0,-9.556933403E0,1.674975902E-1,2.330609322E0
